year,session,code,unit,max_mark,UMS_100,A*,A,B,C,D,E
2025,June,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,61,,49,43,37,31,25
2025,June,GG01B,GEOGRAPHY UNIT 1 OPTION B,80,61,,49,43,37,31,25
2025,June,GG02,GEOGRAPHY UNIT 2,80,61,,49,43,37,31,26
2025,June,GG03,GEOGRAPHY UNIT 3,80,64,57,50,43,36,30,24
2025,June,GG04,GEOGRAPHY UNIT 4,80,63,56,49,42,36,30,24
2025,June,GG05,GEOGRAPHY UNIT 5,60,55,49,43,37,31,25,20
2025,June,LT01,ENGLISH LITERATURE UNIT 1,50,42,,32,27,22,17,13
2025,June,LT02,ENGLISH LITERATURE UNIT 2,50,43,,33,28,23,18,13
2025,June,LT03,ENGLISH LITERATURE UNIT 3,50,45,40,35,30,25,21,17
2025,June,LT04A,ENGLISH LITERATURE UNIT 4A,50,39,35,31,27,23,19,16
2025,June,LT04B,ENGLISH LITERATURE UNIT 4B,50,,45,40,34,28,23,18
2025,June,MA01,MATHS UNIT 1 (P1),80,,,62,53,45,37,29
2025,June,MA02,MATHS UNIT 2 (PSM1),80,74,,58,50,42,34,27
2025,June,MA03,MATHS UNIT 3 (P2),120,,108,96,84,72,60,49
2025,June,MA04,MATHS UNIT 4 (S2),80,79,72,65,57,49,41,34
2025,June,MA05,MATHS UNIT 5 (M2),80,71,64,57,50,43,36,29
2025,June,PH01,PHYSICS UNIT 1,80,64,,54,49,45,41,37
2025,June,PH02,PHYSICS UNIT 2,80,66,,56,51,46,41,36
2025,June,PH03,PHYSICS UNIT 3,80,71,65,59,53,48,43,38
2025,June,PH04,PHYSICS UNIT 4,80,77,70,63,56,50,44,38
2025,June,PH05,PHYSICS UNIT 5,80,63,57,51,45,39,33,27
2025,June,PS01,PSYCHOLOGY UNIT 1,90,75,,61,54,47,40,34
2025,June,PS02,PSYCHOLOGY UNIT 2,90,86,,68,59,51,43,35
