year,session,code,unit,max_mark,UMS_100,A*,A,B,C,D,E
2023,January,EC04,ECONOMICS UNIT 4,90,84,75,66,57,49,41,33
2023,January,EN01,ENGLISH LANGUAGE UNIT 1,50,49,,39,34,29,24,19
2023,January,EN02,ENGLISH LANGUAGE UNIT 2,50,46,,36,31,26,22,18
2023,January,EN03,ENGLISH LANGUAGE UNIT 3,50,48,43,38,33,28,23,19
2023,January,EN04A,ENGLISH LANGUAGE UNIT 4A,50,48,43,38,33,28,23,19
2023,January,EN04B,ENGLISH LANGUAGE UNIT 4B,50,48,43,38,33,28,23,19
2023,January,FM01,FURTHER MATHS UNIT 1 (FP1),80,75,,59,51,43,35,28
2023,January,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,75,,59,51,43,36,29
2023,January,FM03,FURTHER MATHS UNIT 3 (FP2),120,112,100,88,76,64,53,42
2023,January,FM04,FURTHER MATHS UNIT 4 (FS2),80,70,62,54,46,39,32,25
2023,January,FM05,FURTHER MATHS UNIT 5 (FM2),80,72,65,58,51,44,37,30
2023,January,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,63,,49,42,35,28,21
2023,January,GG02,GEOGRAPHY UNIT 2,80,68,,52,44,37,30,23
2023,January,GG03,GEOGRAPHY UNIT 3,80,75,66,57,48,39,30,22
2023,January,GG04,GEOGRAPHY UNIT 4,80,77,68,59,50,41,32,24
2023,January,GG05,GEOGRAPHY UNIT 5,60,53,47,41,35,29,23,18
2023,January,LT01,ENGLISH LITERATURE UNIT 1,50,42,,32,27,22,17,12
2023,January,LT02,ENGLISH LITERATURE UNIT 2,50,42,,32,27,22,17,13
2023,January,MA01,MATHS UNIT 1 (P1),80,74,,58,50,42,34,27
2023,January,MA02,MATHS UNIT 2 (PSM1),80,76,,60,52,44,37,30
2023,January,MA03,MATHS UNIT 3 (P2),120,114,102,90,78,67,56,45
2023,January,MA04,MATHS UNIT 4 (S2),80,77,69,61,53,45,37,30
2023,January,MA05,MATHS UNIT 5 (M2),80,76,68,60,52,44,36,29
2023,January,PH01,PHYSICS UNIT 1,80,57,,47,42,37,32,27
2023,January,PH02,PHYSICS UNIT 2,80,63,,51,45,39,33,28
2023,January,PH03,PHYSICS UNIT 3,80,58,53,48,43,38,33,28
2023,January,PH04,PHYSICS UNIT 4,80,64,58,52,46,40,34,29
2023,January,PH05,PHYSICS UNIT 5,80,62,56,50,44,38,33,28
2023,January,PS01,PSYCHOLOGY UNIT 1,90,75,,59,51,43,36,29
2023,January,PS02,PSYCHOLOGY UNIT 2,90,83,,65,56,47,39,31
2023,January,PS03,PSYCHOLOGY UNIT 3,90,81,72,63,54,45,36,28
2023,January,PS04,PSYCHOLOGY UNIT 4,90,82,72,62,52,43,34,25
2022,June,Code,BL01,75,60,,48,42,36,30,25
2022,June,Code,BL02,75,55,,45,40,35,30,25
2022,June,Code,BL03,75,58,52,46,40,35,30,25
2022,June,Code,BL04,75,54,49,44,39,35,31,27
2022,June,Code,BL05,75,54,49,44,39,35,31,27
2022,June,Code,BU01,80,70,,56,49,42,35,29
2022,June,Code,BU02,80,68,,54,47,41,35,29
2022,June,Code,BU03,80,77,69,61,53,45,37,29
2022,June,Code,BU04,80,77,69,61,53,45,37,30
2022,June,Code,CH01,70,66,,52,45,38,32,26
2022,June,Code,CH02,70,66,,52,45,38,32,26
2022,June,Code,CH03,80,72,64,56,48,40,33,26
2022,June,Code,CH04,80,71,63,55,47,39,31,23
2022,June,Code,CH05,60,55,49,43,37,32,27,22
2022,June,Code,EC01,80,76,,58,49,41,33,25
2022,June,Code,EC02,80,75,,59,51,43,35,28
2022,June,Code,EC03,90,84,75,66,57,49,41,33
2022,June,Code,EC04,90,85,76,67,58,49,41,33
2022,June,Code,EN01,50,49,,39,34,29,24,19
2022,June,Code,EN02,50,46,,36,31,26,22,18
2022,June,Code,EN03,50,48,43,38,33,28,23,19
2022,June,Code,EN04A,50,48,43,38,33,28,23,19
2022,June,Code,EN04B,50,48,43,38,33,28,23,19
2022,June,Code,LT01,50,42,,32,27,22,17,12
2022,June,Code,LT02,50,42,,32,27,22,17,13
2022,June,Code,LT03,50,46,41,36,31,26,22,18
2022,June,Code,LT04A,50,48,43,38,33,28,23,18
2022,June,Code,LT04B,50,48,43,38,33,28,23,18
2022,June,Code,GG01A,80,63,,49,42,35,28,21
2022,June,Code,GG01B,80,63,,49,42,35,28,21
2022,June,Code,GG02,80,68,,52,44,37,30,23
2022,June,Code,GG03,80,75,66,57,48,39,30,22
2022,June,Code,GG04,80,77,68,59,50,41,32,24
2022,June,Code,GG05,80,53,47,41,35,29,23,18
2022,June,Code,MA01,80,74,,58,50,42,34,27
2022,June,Code,MA02,80,76,,60,52,44,37,30
2022,June,Code,MA03,120,114,102,90,78,67,56,45
2022,June,Code,MA04,80,77,69,61,53,45,37,30
2022,June,Code,MA05,80,76,68,60,52,44,36,29
2022,June,Code,FM01,80,75,,59,51,43,35,28
2022,June,Code,FM02,80,75,,59,51,43,36,29
2022,June,Code,FM03,120,112,100,88,76,64,53,42
2022,June,Code,FM04,80,70,62,54,46,39,32,25
2022,June,Code,FM05,80,72,65,58,51,44,37,30
2022,June,Code,PH01,80,57,,47,42,37,32,27
2022,June,Code,PH02,80,63,,51,45,39,33,28
2022,June,Code,PH03,80,58,53,48,43,38,33,30
2022,June,Code,PH04,80,64,58,52,46,40,34,29
2022,June,Code,PH05,80,64,58,52,46,40,35,30
2022,June,Code,PS01,90,75,,59,51,43,36,29
2022,June,Code,PS02,90,83,,65,56,47,39,31
2022,June,Code,PS03,90,81,72,63,54,45,36,28
2022,June,Code,PS04,90,82,72,62,52,43,34,25
2022,January,Code,BL01,75,60,,48,42,36,30,25
2022,January,Code,BL02,75,55,,45,40,35,30,25
2022,January,Code,BL03,75,58,52,46,40,35,30,25
2022,January,Code,BL04,75,54,49,44,39,35,31,27
2022,January,Code,BL05,75,54,49,44,39,35,31,27
2022,January,Code,BU01,80,70,,56,49,42,35,29
2022,January,Code,BU02,80,68,,54,47,41,35,29
2022,January,Code,BU03,80,77,69,61,53,45,37,30
2022,January,Code,BU04,80,77,69,61,53,45,37,30
2022,January,Code,CH01,70,66,,52,45,38,32,26
2022,January,Code,CH02,70,66,,52,45,38,32,26
2022,January,Code,CH03,80,72,64,56,48,40,33,26
2022,January,Code,CH04,80,71,63,55,47,39,31,23
2022,January,Code,CH05,60,55,49,43,37,32,27,22
2022,January,Code,EC01,80,75,,59,51,43,35,28
2022,January,Code,EC02,80,75,,59,51,43,35,28
2022,January,Code,EN01,50,49,,39,34,29,24,19
2022,January,Code,EN02,50,46,,36,31,26,22,18
2022,January,Code,EN03,50,48,43,38,33,28,23,19
2022,January,Code,LT01,50,45,,33,27,22,17,12
2022,January,Code,GG01A,80,63,,49,42,35,28,22
2022,January,Code,GG02,80,66,,52,45,38,31,24
2022,January,Code,MA01,80,74,,58,50,42,34,27
2022,January,Code,MA02,80,76,,60,52,44,37,30
2022,January,Code,MA03,120,114,102,90,78,67,56,45
2022,January,Code,MA04,80,77,69,61,53,45,37,30
2022,January,Code,MA05,80,76,68,60,52,44,36,29
2022,January,Code,FM01,80,75,,59,51,43,35,28
2022,January,Code,FM02,80,75,,59,51,43,36,29
2022,January,Code,FM03,120,112,100,88,76,64,53,42
2022,January,Code,FM04,80,70,62,54,46,39,32,25
2022,January,Code,FM05,80,72,65,58,51,44,37,30
2022,January,Code,PH01,80,57,,47,42,37,32,27
2022,January,Code,PH02,80,63,,51,45,39,33,28
2022,January,Code,PH03,80,58,53,48,43,38,33,28
2022,January,Code,PH04,80,64,58,52,46,40,34,29
2022,January,Code,PH05,80,64,58,52,46,40,35,30
2022,January,Code,PS01,90,75,,59,51,43,36,29
2022,January,Code,PS02,90,84,,66,57,48,39,31
2022,January,Code,PS03,90,86,76,66,56,46,37,28
2022,January,Code,PS04,90,86,76,66,56,46,36,26
2021,January,Code,BL01,75,62,,50,44,38,32,27
2021,January,Code,BL02,75,56,,46,41,36,31,26
2021,January,Code,BL03,75,55,50,45,40,35,30,25
2021,January,Code,BL04,75,55,50,45,40,35,30,26
2021,January,Code,BL05,75,55,50,45,40,36,32,28
2021,January,Code,BU01,80,71,,55,47,40,33,26
2021,January,Code,BU02,80,67,,53,46,39,32,26
2021,January,Code,BU03,80,77,68,59,50,41,33,25
2021,January,Code,BU04,80,77,68,59,50,41,33,25
2021,January,Code,CH01,70,65,,51,44,37,30,24
2021,January,Code,CH02,70,65,,51,44,37,31,25
2021,January,Code,CH03,80,72,64,56,48,40,32,24
2021,January,Code,CH04,80,73,64,55,46,38,30,22
2021,January,Code,CH05,60,55,49,43,37,31,26,21
2021,January,Code,EN01,50,48,,38,33,28,23,18
2021,January,Code,EN02,50,45,,35,30,25,21,17
2021,January,Code,EN03,50,47,42,37,32,27,22,18
2021,January,Code,EN04A,50,47,42,37,32,27,22,18
2021,January,Code,LT01,50,44,,32,26,21,16,11
2021,January,Code,LT02,50,44,,32,26,21,16,11
2021,January,Code,GG01A,80,62,,48,41,34,27,20
2021,January,Code,GG01B,80,62,,48,41,34,27,20
2021,January,Code,GG02,80,64,,50,43,36,29,22
2021,January,Code,MA01,80,76,,58,49,40,31,23
2021,January,Code,MA02,80,75,,59,51,43,35,27
2021,January,Code,MA03,120,116,103,90,77,64,52,40
2021,January,Code,MA04,80,76,68,60,52,44,36,29
2021,January,Code,MA05,80,78,70,62,54,46,38,30
2021,January,Code,FM01,80,75,,59,51,43,35,27
2021,January,Code,FM02,80,78,,60,51,43,35,27
2021,January,Code,FM03,120,114,101,88,75,62,49,37
2021,January,Code,FM04,80,72,64,56,48,40,32,24
2021,January,Code,FM05,80,76,68,60,52,44,36,28
2021,January,Code,PH01,80,58,,48,43,38,33,28
2021,January,Code,PH02,80,64,,52,46,40,34,29
2021,January,Code,PH03,80,59,54,49,44,39,34,29
2021,January,Code,PH04,80,67,60,53,46,40,34,28
2021,January,Code,PH05,80,64,58,52,46,40,35,30
2021,January,Code,PS01,90,75,,59,51,43,35,27
2021,January,Code,PS02,90,83,,65,56,47,38,29
2021,January,Code,PS03,90,86,76,66,56,46,37,28
2021,January,Code,PS04,90,85,75,65,55,45,35,26
