year,session,code,subject,paper,max_mark,9,8,7,6,5,4,3,2,1,u
2020,Nov,8300,MATHEMATICS,2H,80,65,53,42,32,22,12,7,0,0,0
2020,Nov,8300,MATHEMATICS,3F,80,0,0,0,0,47,37,27,17,8,0
2020,Nov,8300,MATHEMATICS,3H,80,65,54,43,33,24,15,10,0,0,0
2020,Nov,8382,STATISTICS,1F,80,0,0,0,0,41,32,23,14,6,0
2020,Nov,8382,STATISTICS,1H,80,67,60,53,41,30,19,13,0,0,0
2020,Nov,8382,STATISTICS,2F,80,0,0,0,0,45,37,26,16,6,0
2020,Nov,8382,STATISTICS,2H,80,67,59,51,40,30,20,15,0,0,0
2020,Nov,8461,BIOLOGY,1F,100,0,0,0,0,65,55,39,23,8,0
2020,Nov,8461,BIOLOGY,1H,100,68,61,54,44,35,26,21,0,0,0
2020,Nov,8461,BIOLOGY,2F,100,0,0,0,0,57,46,33,20,8,0
2020,Nov,8461,BIOLOGY,2H,100,63,55,47,37,28,19,14,0,0,0
2020,Nov,8462,CHEMISTRY,1F,100,0,0,0,0,62,49,35,21,7,0
2020,Nov,8462,CHEMISTRY,1H,100,69,58,48,38,28,19,14,0,0,0
2020,Nov,8462,CHEMISTRY,2F,100,0,0,0,0,62,49,35,21,8,0
2020,Nov,8462,CHEMISTRY,2H,100,70,60,50,39,29,19,14,0,0,0
2020,Nov,8463,PHYSICS,1F,100,0,0,0,0,64,52,37,22,8,0
2020,Nov,8463,PHYSICS,1H,100,74,65,57,45,34,23,17,0,0,0
2020,Nov,8463,PHYSICS,2F,100,0,0,0,0,59,46,33,20,8,0
2020,Nov,8463,PHYSICS,2H,100,66,55,44,35,26,17,12,0,0,0
2020,Nov,8464,COMBINED SCIENCE: TRILOGY,B/1F,70,0,0,0,0,38,30,21,13,5,0
2020,Nov,8464,COMBINED SCIENCE: TRILOGY,B/1H,70,44,38,32,26,20,15,12,0,0,0
2020,Nov,8464,COMBINED SCIENCE: TRILOGY,B/2F,70,0,0,0,0,40,33,23,14,5,0
2020,Nov,8464,COMBINED SCIENCE: TRILOGY,B/2H,70,45,39,33,27,21,15,12,0,0,0
2020,Nov,8464,COMBINED SCIENCE: TRILOGY,C/1F,70,0,0,0,0,40,33,24,15,6,0
2020,Nov,8464,COMBINED SCIENCE: TRILOGY,C/1H,70,45,39,33,27,21,15,12,0,0,0
2020,Nov,8464,COMBINED SCIENCE: TRILOGY,C/2F,70,0,0,0,0,36,28,20,13,6,0
2020,Nov,8464,COMBINED SCIENCE: TRILOGY,C/2H,70,43,36,30,24,18,12,9,0,0,0
2020,Nov,8464,COMBINED SCIENCE: TRILOGY,P/1F,70,0,0,0,0,39,31,23,15,7,0
2020,Nov,8464,COMBINED SCIENCE: TRILOGY,P/1H,70,43,36,30,23,17,11,8,0,0,0
2020,Nov,8464,COMBINED SCIENCE: TRILOGY,P/2F,70,0,0,0,0,38,30,22,14,7,0
2020,Nov,8464,COMBINED SCIENCE: TRILOGY,P/2H,70,44,38,32,25,19,13,10,0,0,0
2020,Nov,8465,COMBINED SCIENCE: SYNERGY,1F,100,0,0,0,0,53,42,30,19,8,0
2020,Nov,8465,COMBINED SCIENCE: SYNERGY,1H,100,64,53,42,34,27,20,16,0,0,0
2020,Nov,8465,COMBINED SCIENCE: SYNERGY,2F,100,0,0,0,0,58,48,35,22,9,0
2020,Nov,8465,COMBINED SCIENCE: SYNERGY,2H,100,64,53,43,35,28,21,17,0,0,0
2020,Nov,8465,COMBINED SCIENCE: SYNERGY,3F,100,0,0,0,0,57,46,33,21,9,0
2020,Nov,8465,COMBINED SCIENCE: SYNERGY,3H,100,62,50,39,30,22,14,10,0,0,0
2020,Nov,8465,COMBINED SCIENCE: SYNERGY,4F,100,0,0,0,0,59,49,36,23,10,0
2020,Nov,8465,COMBINED SCIENCE: SYNERGY,4H,100,65,54,44,36,28,21,17,0,0,0
2020,Nov,8520,COMPUTER SCIENCE,1,80,69,62,56,47,38,30,22,15,8,0
2020,Nov,8520,COMPUTER SCIENCE,2,80,66,58,51,43,36,29,21,14,7,0
2020,Nov,8552,DESIGN AND TECHNOLOGY,W,100,77,69,61,51,42,33,23,14,5,0
2020,Nov,8572,MEDIA STUDIES,1,84,62,55,48,40,32,25,18,11,4,0
2020,Nov,8572,MEDIA STUDIES,2,84,61,54,47,39,31,24,17,10,4,0
2020,Nov,8582,PHYSICAL EDUCATION,1,78,52,47,43,37,31,25,18,11,5,0
2020,Nov,8582,PHYSICAL EDUCATION,2,78,57,53,49,42,36,30,22,14,7,0
2020,Nov,8585,FOOD PREPARATION AND NUTRITION,W,100,80,71,62,52,43,34,24,14,5,0
2020,Nov,8633,ITALIAN,LF,40,0,0,0,0,21,18,12,7,2,0
2020,Nov,8633,ITALIAN,LF,60,0,0,0,0,32,27,18,11,3,0
2020,Nov,8633,ITALIAN,LH,50,38,30,23,19,15,11,9,0,0,0
2020,Nov,8633,ITALIAN,LH,60,46,36,28,23,18,13,11,0,0,0
2020,Nov,8633,ITALIAN,RF,60,0,0,0,0,34,29,20,11,3,0
2020,Nov,8633,ITALIAN,RH,60,46,37,28,25,22,19,17,0,0,0
2020,Nov,8633,ITALIAN,WF,50,0,0,0,0,30,26,18,10,3,0
2020,Nov,8633,ITALIAN,WF,60,0,0,0,0,36,31,22,12,4,0
2020,Nov,8633,ITALIAN,WH,60,49,41,34,29,24,20,18,0,0,0
2020,Nov,8638,BENGALI,LH,50,44,40,37,30,23,17,14,0,0,0
2020,Nov,8638,BENGALI,LH,60,53,48,44,36,28,20,17,0,0,0
2020,Nov,8638,BENGALI,RH,60,46,36,27,20,14,8,5,0,0,0
2020,Nov,8638,BENGALI,WH,60,49,42,35,27,19,12,8,0,0,0
2020,Nov,8648,URDU,LF,40,0,0,0,0,30,28,19,10,2,0
2020,Nov,8648,URDU,LF,60,0,0,0,0,45,42,29,15,3,0
2020,Nov,8648,URDU,LH,50,44,42,40,34,28,22,19,0,0,0
2020,Nov,8648,URDU,LH,60,53,50,48,41,34,26,23,0,0,0
2020,Nov,8648,URDU,RF,60,0,0,0,0,40,36,25,14,3,0
2020,Nov,8648,URDU,RH,60,51,47,44,37,30,23,19,0,0,0
2020,Nov,8648,URDU,WF,50,0,0,0,0,31,27,19,11,3,0
2020,Nov,8648,URDU,WF,60,0,0,0,0,37,32,23,13,4,0
2020,Nov,8648,URDU,WH,60,50,46,43,34,26,18,14,0,0,0
2020,Nov,8658,FRENCH,LF,40,0,0,0,0,23,19,13,8,3,0
2020,Nov,8658,FRENCH,LF,60,0,0,0,0,35,29,20,12,5,0
2020,Nov,8658,FRENCH,LH,50,35,28,22,19,16,13,11,0,0,0
2020,Nov,8658,FRENCH,LH,60,42,34,26,23,19,16,13,0,0,0
2020,Nov,8658,FRENCH,RF,60,0,0,0,0,39,34,24,14,4,0
2020,Nov,8658,FRENCH,RH,60,47,42,37,32,27,22,19,0,0,0
2020,Nov,8658,FRENCH,WF,50,0,0,0,0,35,32,22,12,3,0
2020,Nov,8658,FRENCH,WF,60,0,0,0,0,42,38,26,14,4,0
2020,Nov,8658,FRENCH,WH,60,50,46,42,36,31,26,23,0,0,0
2020,Nov,8668,GERMAN,LF,40,0,0,0,0,28,25,17,9,2,0
2020,Nov,8668,GERMAN,LF,60,0,0,0,0,42,38,26,14,3,0
2020,Nov,8668,GERMAN,LH,50,40,36,32,28,24,20,18,0,0,0
2020,Nov,8668,GERMAN,LH,60,48,43,38,34,29,24,22,0,0,0
2020,Nov,8668,GERMAN,RF,60,0,0,0,0,35,29,20,11,3,0
2020,Nov,8668,GERMAN,RH,60,43,36,29,24,19,14,11,0,0,0
2020,Nov,8668,GERMAN,WF,50,0,0,0,0,31,26,18,10,3,0
2020,Nov,8668,GERMAN,WF,60,0,0,0,0,37,31,22,12,4,0
2020,Nov,8668,GERMAN,WH,60,47,41,35,29,23,18,15,0,0,0
2020,Nov,8673,CHINESE (SPOKEN MANDARIN),LF,40,0,0,0,0,21,18,13,8,3,0
2020,Nov,8673,CHINESE (SPOKEN MANDARIN),LF,60,0,0,0,0,32,27,20,12,5,0
2020,Nov,8673,CHINESE (SPOKEN MANDARIN),LH,50,41,33,25,21,18,15,13,0,0,0
2020,Nov,8673,CHINESE (SPOKEN MANDARIN),LH,60,49,40,30,25,22,18,16,0,0,0
2020,Nov,8673,CHINESE (SPOKEN MANDARIN),RF,60,0,0,0,0,24,19,14,9,4,0
2020,Nov,8673,CHINESE (SPOKEN MANDARIN),RH,60,48,37,27,22,17,13,11,0,0,0
2020,Nov,8673,CHINESE (SPOKEN MANDARIN),WF,50,0,0,0,0,19,15,11,8,5,0
2020,Nov,8673,CHINESE (SPOKEN MANDARIN),WF,60,0,0,0,0,23,18,13,10,6,0
2020,Nov,8673,CHINESE (SPOKEN MANDARIN),WH,60,46,34,23,19,16,13,11,0,0,0
2020,Nov,8678,MODERN HEBREW,LH,50,39,31,23,21,19,17,16,0,0,0
2020,Nov,8678,MODERN HEBREW,LH,60,47,37,28,25,23,20,19,0,0,0
2020,Nov,8678,MODERN HEBREW,RH,60,49,41,34,30,26,22,20,0,0,0
2020,Nov,8678,MODERN HEBREW,WH,60,49,41,33,28,23,18,15,0,0,0
2020,Nov,8683,PANJABI,LH,50,43,39,36,29,23,17,14,0,0,0
2020,Nov,8683,PANJABI,LH,60,52,47,43,35,28,20,17,0,0,0
2020,Nov,8683,PANJABI,RH,60,53,49,45,37,29,22,18,0,0,0
