year,session,code,unit,max_mark,a*,a,b,c,d,e,u
2026,Jan,WFM02,Unit 2A: Further Pure Mathematics 2,75,72,70,62,54,46,39,0
2026,Jan,WFM03,Unit 3: Further Pure Mathematics 3,75,69,63,56,49,42,36,0
2026,Jan,WFM03,Unit 3A: Further Pure Mathematics 3,75,69,63,56,49,42,36,0
2026,Jan,WFR01,Unit 1: Spoken Expression and Response,40,,30,26,22,19,16,0
2026,Jan,WFR02,Unit 2: Understanding and Written Response,90,,71,65,59,53,48,0
2026,Jan,WFR03,Unit 3: Understanding and Spoken Response,40,35,31,27,23,19,16,0
2026,Jan,WFR04,"Unit 4: Research, Understanding and Written Response",90,81,72,62,53,44,35,0
2026,Jan,WGE01,Unit 1: Global Challenges,90,,56,51,46,42,38,0
2026,Jan,WGE02,Unit 2: Geographical Investigations,60,,43,39,35,32,29,0
2026,Jan,WGE03,Unit 3: Contested Planet,90,69,61,53,45,37,30,0
2026,Jan,WGE04,Unit 4: Researching Geography,60,52,45,38,31,24,18,0
2026,Jan,WGN01,Unit 1: Spoken Expression and Response,40,,30,26,22,19,16,0
2026,Jan,WGN02,Unit 2: Understanding and Written Response,90,,67,59,51,43,35,0
2026,Jan,WGN03,Unit 3: Understanding and Spoken Response,40,35,31,27,23,19,16,0
2026,Jan,WGN04,"Unit 4: Research, Understanding and Written Response",90,74,67,60,53,46,39,0
2026,Jan,WHI01,"Unit 1A: France in Revolution, 1774-99",50,,39,34,29,25,21,0
2026,Jan,WHI01,"Unit 1B: Russia in Revolution, 1881-1917",50,,39,34,30,26,22,0
2026,Jan,WHI01,"Unit 1C: Germany, 1918-45",50,,39,34,29,25,21,0
2026,Jan,WHI01,"Unit 1D: Britain, 1964-90",50,,39,34,29,25,21,0
2026,Jan,WHI02,"Unit 2A: India, 1857-1948: The Raj to Partition",50,,34,31,28,25,22,0
2026,Jan,WHI02,"Unit 2B: China, 1900-76",50,,35,31,28,25,22,0
2026,Jan,WHI02,"Unit 2C: Russia, 1917-91: From Lenin to Yeltsin",50,,34,31,28,25,22,0
2026,Jan,WHI02,"Unit 2D: South Africa, 1948-2014",50,,34,31,28,25,22,0
2026,Jan,WHI03,"Unit 3A: The USA, Independence to Civil War, 1763-1865",50,39,35,31,27,24,21,0
2026,Jan,WHI03,"Unit 3B: The British Experience of Warfare, 1803-1945",50,39,35,31,27,24,21,0
2026,Jan,WHI03,"Unit 3C: Germany: United, Divided and Reunited,1 870−1990",50,39,35,31,27,24,21,0
2026,Jan,WHI03,"Unit 3D: Civil Rights and Race Relations in the USA, 1865−2009",50,39,35,31,27,24,21,0
2026,Jan,WHI04,"Unit 4A: The Making of Modern Europe, 1805-71",50,38,34,30,27,24,21,0
2026,Jan,WHI04,"Unit 4B: The World in Crisis, 1879-1945",50,39,35,31,27,23,19,0
2026,Jan,WHI04,"Unit 4C: The World Divided: Superpower Relations, 1 943−90",50,39,35,31,27,23,20,0
2026,Jan,WHI04,"Unit 4D: The Cold War and Hot War in Asia, 1945-90",50,37,33,29,26,23,20,0
2026,Jan,WMA11,Unit 1: Pure Mathematics 1,75,,56,49,42,35,29,0
2026,Jan,WMA11,Unit 1A: Pure Mathematics 1,75,,60,53,46,39,33,0
