year,session,code,subject,paper,max_mark,9,8,7,6,5,4,3,2,1,u
2025,November,9270/P,ENGLISH LANGUAGE,NEA PROJECT,80,68,61,55,48,41,35,25,17,9,,0
2025,November,9275/1,ENGLISH LITERATURE,PAPER 1,60,47,41,35,30,25,20,15,10,6,,0
2025,November,9275/2A,ENGLISH LITERATURE,PAPER 2 ROUTE A,90,74,67,60,52,45,38,28,18,9,,0
2025,November,9275/2B,ENGLISH LITERATURE,PAPER 2 ROUTE B,60,50,45,40,34,29,24,18,12,6,,0
2025,November,9275/C,ENGLISH LITERATURE,NEA,30,25,23,21,18,15,13,9,6,3,,0
2025,November,9280/L,ENGLISH AS A SECOND LANG,LISTENING,40,37,35,34,31,28,26,19,12,6,,0
2025,November,9280/R,ENGLISH AS A SECOND LANG,READING,60,54,50,47,44,41,39,28,17,6,,0
2025,November,9280/S,ENGLISH AS A SECOND LANG,SPEAKING,40,35,32,29,26,23,20,14,9,4,,0
2025,November,9280/W,ENGLISH AS A SECOND LANG,WRITING,60,51,46,42,39,36,33,24,15,7,,0
2024,June,9201/1,BIOLOGY,PAPER 1,90,61,54,48,41,35,29,23,17,11,,0
2024,June,9201/2,BIOLOGY,PAPER 2,90,62,55,49,42,36,30,23,17,11,,0
2024,June,9202/1,CHEMISTRY,PAPER 1,90,72,64,57,49,41,33,26,19,13,,0
2024,June,9202/2,CHEMISTRY,PAPER 2,90,77,71,65,56,47,39,29,19,10,,0
2024,June,9203/1,PHYSICS,PAPER 1,90,68,62,56,50,45,40,32,24,16,,0
2024,June,9203/2,PHYSICS,PAPER 2,90,69,63,57,50,44,38,30,22,15,,0
2024,June,9210/1,COMPUTER SCIENCE,PAPER 1,80,70,64,58,48,39,30,22,14,7,,0
2024,June,9210/2,COMPUTER SCIENCE,PAPER 2,80,68,60,53,45,38,31,24,18,12,,0
2024,June,9225/1,BUSINESS,PAPER 1,90,75,68,61,54,47,40,30,21,12,,0
2024,June,9225/2,BUSINESS,PAPER 2,90,75,68,61,54,48,42,31,21,11,,0
2024,June,9230/1,GEOGRAPHY,PAPER 1,80,57,51,45,39,33,27,19,12,5,,0
2024,June,9230/2,GEOGRAPHY,PAPER 2,80,55,49,43,38,34,30,22,14,6,,0
2024,June,9230/3,GEOGRAPHY,PAPER 3,60,48,45,42,37,33,29,21,13,5,,0
2024,June,9270/1,ENGLISH LANGUAGE,PAPER 1,120,99,89,78,68,57,47,35,23,12,,0
2024,June,9270/2,ENGLISH LANGUAGE,PAPER 2,80,66,59,52,45,39,33,24,16,8,,0
2024,June,9270/P,ENGLISH LANGUAGE,NEA PROJECT,80,68,61,55,48,41,35,25,17,9,,0
2024,June,9275/1,ENGLISH LITERATURE,PAPER 1,60,48,42,36,31,26,21,16,11,6,,0
2024,June,9275/2A,ENGLISH LITERATURE,PAPER 2 ROUTE A,90,75,68,61,53,46,39,29,19,9,,0
2024,June,9275/2B,ENGLISH LITERATURE,PAPER 2 ROUTE B,60,50,45,41,35,30,25,18,12,6,,0
2024,June,9275/C,ENGLISH LITERATURE,NEA,30,25,23,21,18,15,13,9,6,3,,0
2024,June,9280/L,ENGLISH AS A SECOND LANGUAGE,LISTENING,40,36,34,32,29,26,24,18,12,6,,0
2024,June,9280/R,ENGLISH AS A SECOND LANGUAGE,READING,60,53,49,45,41,38,35,25,15,6,,0
2024,June,9280/S,ENGLISH AS A SECOND LANGUAGE,SPEAKING,40,35,32,29,26,23,20,14,9,4,,0
2024,June,9280/W,ENGLISH AS A SECOND LANGUAGE,WRITING,60,52,47,43,40,37,34,25,16,7,,0
2024,November,9201/1,BIOLOGY,PAPER 1,90,61,54,48,41,35,29,23,17,11,,0
2024,November,9201/2,BIOLOGY,PAPER 2,90,62,55,49,42,36,30,23,17,11,,0
2024,November,9202/1,CHEMISTRY,PAPER 1,90,72,64,57,49,41,33,26,19,13,,0
2024,November,9202/2,CHEMISTRY,PAPER 2,90,77,71,65,56,47,39,29,19,10,,0
2024,November,9203/1,PHYSICS,PAPER 1,90,68,62,56,50,45,40,32,24,16,,0
2024,November,9203/2,PHYSICS,PAPER 2,90,69,63,57,50,44,38,30,22,15,,0
2024,November,9210/1,COMPUTER SCIENCE (OXFORD INT),COMPUTER SCIENCE PAPER 1,80,70,64,58,48,39,30,22,14,7,,0
2024,November,9210/2,COMPUTER SCIENCE (OXFORD INT),PAPER 2,80,68,60,53,45,38,31,24,18,12,,0
2024,November,9225/1,BUSINESS,PAPER 1,90,75,68,61,54,47,40,30,21,12,,0
2024,November,9225/2,BUSINESS,PAPER 2,90,75,68,61,54,48,42,31,21,11,,0
2024,November,9230/1,GEOGRAPHY,PAPER 1,80,57,51,45,39,33,27,19,12,5,,0
2024,November,9230/2,GEOGRAPHY,PAPER 2,80,55,49,43,38,34,30,22,14,6,,0
2024,November,9230/3,GEOGRAPHY,PAPER 3,60,48,45,42,37,33,29,21,13,5,,0
2024,November,9270/1,ENGLISH LANGUAGE (OXFORD INT),PAPER 1,120,99,89,78,68,57,47,35,23,12,,0
2024,November,9270/2,ENGLISH LANGUAGE (OXFORD INT),PAPER 2,80,66,59,52,45,39,33,24,16,8,,0
2024,November,9270/P,ENGLISH LANGUAGE (OXFORD INT),ENGLISH LANGUAGE NEA PROJECT,60,51,46,41,36,31,26,19,13,7,,0
2024,November,9270/P,ENGLISH LANGUAGE (OXFORD INT),NEA PROJECT,80,68,61,55,48,41,35,25,17,9,,0
2024,November,9275/1,ENGLISH LITERATURE (OXFORD INT),PAPER 1,60,48,42,36,31,26,21,16,11,6,,0
2024,November,9275/2A,ENGLISH LITERATURE (OXFORD INT),PAPER 2 ROUTE A,90,75,68,61,53,46,39,29,19,9,,0
2024,November,9275/2B,ENGLISH LITERATURE (OXFORD INT),PAPER 2 ROUTE B,60,50,45,41,35,30,25,18,12,6,,0
2024,November,9275/C,ENGLISH LITERATURE (OXFORD INT),ENGLISH LITERATURE NEA,30,25,23,21,18,15,13,9,6,3,,0
2024,November,9280/L,ENGLISH AS A SECOND LANG (OX INT),ENGLISH AS A SECOND LANG LISTENING,40,36,34,32,29,26,24,18,12,6,,0
2024,November,9280/R,ENGLISH AS A SECOND LANG (OX INT),READING,60,52,48,45,41,38,35,25,15,6,,0
2024,November,9280/S,ENGLISH AS A SECOND LANG (OX INT),SPEAKING,40,34,31,29,26,23,20,14,9,4,,0
2024,November,9280/W,ENGLISH AS A SECOND LANG (OX INT),WRITING,60,51,47,43,40,37,34,25,16,7,,0
2022,June,9201/1,BIOLOGY,PAPER 1,90,63,56,49,43,37,31,23,15,7,,0
2022,June,9201/2,BIOLOGY,PAPER 2,90,67,60,54,47,40,34,25,16,8,,0
2022,June,9202/1,CHEMISTRY,PAPER 1,90,68,60,53,45,37,29,22,15,9,,0
2022,June,9202/2,CHEMISTRY,PAPER 2,90,67,59,51,43,35,28,21,14,8,,0
2022,June,9203/1,PHYSICS,PAPER 1,90,67,60,53,46,39,32,24,17,10,,0
2022,June,9203/2,PHYSICS,PAPER 2,90,67,59,52,45,38,32,24,16,9,,0
2022,June,9210/1,COMPUTER SCIENCE,PAPER 1,80,63,54,46,38,30,23,17,12,7,,0
2022,June,9210/2,COMPUTER SCIENCE,PAPER 2,80,66,58,51,44,37,30,23,16,9,,0
2022,June,9225/1,BUSINESS,PAPER 1,90,75,67,60,52,44,36,26,17,8,,0
2022,June,9225/2,BUSINESS,PAPER 2,90,75,67,60,53,46,40,29,18,8,,0
2022,June,9230/1,GEOGRAPHY,PAPER 1,80,56,50,45,39,33,28,20,12,5,,0
2022,June,9230/2,GEOGRAPHY,PAPER 2,80,56,50,45,39,33,28,20,13,6,,0
2022,June,9230/3,GEOGRAPHY,PAPER 3,60,42,38,34,30,26,22,16,10,5,,0
2022,June,9270/1,ENGLISH LANGUAGE,PAPER 1,120,99,89,78,68,57,48,35,23,11,,0
2022,June,9270/2,ENGLISH LANGUAGE,PAPER 2,80,66,59,52,46,40,34,25,16,7,,0
2022,June,9270/P,ENGLISH LANGUAGE,NEA PROJECT,80,67,60,53,47,40,33,24,16,8,,0
2022,June,9275/1,ENGLISH LITERATURE,PAPER 1,60,48,44,40,34,28,22,16,12,8,,0
2022,June,9275/2A,ENGLISH LITERATURE,PAPER 2 ROUTE A,90,72,65,58,51,44,36,26,17,8,,0
2022,June,9275/2B,ENGLISH LITERATURE,PAPER 2 ROUTE B,60,48,43,39,33,27,22,16,10,4,,0
2022,June,9275/C,ENGLISH LITERATURE,NEA,30,25,23,21,18,15,13,9,6,3,,0
2022,June,9280/L,ENGLISH AS A SECOND LANGUAGE,LISTENING,40,36,33,30,26,22,18,14,10,6,,0
2022,June,9280/R,ENGLISH AS A SECOND LANGUAGE,READING,60,52,46,41,36,31,25,18,11,5,,0
2022,June,9280/S,ENGLISH AS A SECOND LANGUAGE,SPEAKING,40,34,30,27,24,21,18,13,8,3,,0
2022,June,9280/W,ENGLISH AS A SECOND LANGUAGE,WRITING,60,52,46,41,36,31,27,20,13,6,,0
2022,November,9201/1,BIOLOGY,PAPER 1,90,63,56,49,43,37,31,23,15,7,,0
2022,November,9201/2,BIOLOGY,PAPER 2,90,67,60,54,47,40,34,25,16,8,,0
2022,November,9202/1,CHEMISTRY,PAPER 1,90,68,60,53,45,37,29,22,15,9,,0
2022,November,9202/2,CHEMISTRY,PAPER 2,90,67,59,51,43,35,28,21,14,8,,0
2022,November,9203/1,PHYSICS,PAPER 1,90,67,60,53,46,39,32,24,17,10,,0
2022,November,9203/2,PHYSICS,PAPER 2,90,67,59,52,45,38,32,24,16,9,,0
2022,November,9210/1,COMPUTER SCIENCE,PAPER 1,80,63,54,46,38,30,23,17,12,7,,0
2022,November,9210/2,COMPUTER SCIENCE,PAPER 2,80,66,58,51,44,37,30,22,15,8,,0
2022,November,9225/1,BUSINESS,PAPER 1,90,75,67,60,52,44,36,26,17,8,,0
2022,November,9225/2,BUSINESS,PAPER 2,90,75,67,60,53,46,40,29,18,8,,0
2022,November,9230/1,GEOGRAPHY,PAPER 1,80,57,51,45,39,33,28,20,13,6,,0
2022,November,9230/2,GEOGRAPHY,PAPER 2,80,57,51,45,39,33,28,20,13,6,,0
2022,November,9230/3,GEOGRAPHY,PAPER 3,75,43,38,34,30,26,22,16,10,4,,0
2022,November,9270/1,ENGLISH LANGUAGE,PAPER 1,120,99,88,78,68,58,48,35,23,11,,0
2022,November,9270/2,ENGLISH LANGUAGE,PAPER 2,80,65,58,52,46,40,34,25,16,7,,0
2022,November,9270/P,ENGLISH LANGUAGE,NON-EXAM ASSESSMENT,80,67,60,53,46,39,33,24,16,8,,0
2022,November,9275/1,ENGLISH LITERATURE,PAPER 1,60,50,45,40,35,30,24,18,12,6,,0
