year,session,code,subject,paper,max_mark,9,8,7,6,5,4,3,2,1,u
2018,June,9202/2,CHEMISTRY,PAPER 2,90,74,65,57,49,41,34,26,18,10,,0
2018,June,9203/1,PHYSICS,PAPER 1,90,74,66,58,51,44,38,28,19,10,,0
2018,June,9203/2,PHYSICS,PAPER 2,90,73,64,56,49,42,35,26,17,9,,0
2018,June,9270/1,ENGLISH LANGUAGE,PAPER 1,120,101,92,83,72,63,54,39,26,12,,0
2018,June,9270/2,ENGLISH LANGUAGE,PAPER 2,80,67,60,54,48,42,36,26,17,8,,0
2018,June,9275/1,ENGLISH LITERATURE,PAPER 1,60,53,47,42,37,32,27,19,12,5,,0
2018,June,9275/2A,ENGLISH LITERATURE,PAPER 2A,90,79,71,63,55,47,40,29,18,7,,0
2018,June,9280/L,ENGLISH AS A SECOND LANGUAGE,PAPER 3: LISTENING,40,35,33,31,28,25,22,16,11,6,,0
2018,June,9280/R,ENGLISH AS A SECOND LANGUAGE,PAPER 2: READING,60,51,46,42,37,33,29,21,13,6,,0
2018,June,9280/S,ENGLISH AS A SECOND LANGUAGE,PAPER 4: SPEAKING,40,34,31,29,26,23,21,15,9,4,,0
2018,June,9280/W,ENGLISH AS A SECOND LANGUAGE,PAPER 1: WRITING,60,51,47,43,39,35,31,22,14,6,,0
2018,November,9201/1,BIOLOGY,PAPER 1,90,74,66,59,51,43,36,27,18,9,,0
2018,November,9201/2,BIOLOGY,PAPER 2,90,73,64,56,49,43,37,28,19,11,,0
2018,November,9202/1,CHEMISTRY,PAPER 1,90,77,70,63,55,47,40,30,20,10,,0
2018,November,9202/2,CHEMISTRY,PAPER 2,90,74,65,57,49,41,34,26,18,10,,0
2018,November,9203/1,PHYSICS,PAPER 1,90,74,66,58,51,44,38,28,19,10,,0
2018,November,9203/2,PHYSICS,PAPER 2,90,73,64,56,49,42,35,26,17,9,,0
2018,November,9270/1,ENGLISH LANGUAGE,PAPER 1,120,101,92,83,72,63,54,39,26,12,,0
2018,November,9270/2,ENGLISH LANGUAGE,PAPER 2,80,67,60,54,48,42,36,26,17,8,,0
2018,November,9280/L,ENGLISH AS A SECOND LANGUAGE,PAPER 3: LISTENING,40,37,35,33,30,27,25,18,12,6,,0
2018,November,9280/R,ENGLISH AS A SECOND LANGUAGE,PAPER 2: READING,60,51,46,42,37,33,29,21,13,6,,0
2018,November,9280/S,ENGLISH AS A SECOND LANGUAGE,PAPER 4: SPEAKING,40,35,32,29,26,23,21,15,9,4,,0
2018,November,9280/W,ENGLISH AS A SECOND LANGUAGE,PAPER 1: WRITING,60,52,48,44,40,36,32,23,14,6,,0
